averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
7,6	59	tt5506680	movie	Kaavala	Kaavala	0	2011	\N	106	Drama,Thriller
7,4	18	tt5507266	movie	Siddhartha	Siddhartha	0	2015	\N	149	Comedy,Drama,Romance
8,2	25	tt5507686	movie	Betamax	Betamax	0	2015	\N	132	Comedy
7,6	8	tt5508598	movie	RaJa Babu	RaJa Babu	0	2015	\N	183	Comedy
7,2	139	tt5508936	movie	Vamshi	Vamshi	0	2008	\N	139	Action,Drama,Family
7,3	109	tt5509142	movie	IceCream	IceCream	0	2016	\N	122	Drama,Romance
9,1	2730	tt5510934	movie	The Unnamed	Oggatonama	0	2016	\N	100	Drama
8,9	7	tt5511856	movie	Halal	Halal	0	2017	\N	148	Drama
7,3	908	tt5514296	movie	My Stupid Boss	My Stupid Boss	0	2016	\N	108	Comedy
7,5	10	tt5514674	movie	Tides	Tides	0	2017	\N	99	Drama
7,6	85	tt5515670	movie	Bravo Virtuoso	Bravo Virtuoso	0	2016	\N	107	Action,Comedy,Crime
7,4	41	tt5515814	movie	Newly Single	Newly Single	0	2017	\N	96	Comedy,Drama
8,7	14	tt5516872	movie	Camp William	Camp William	0	2015	\N	100	Drama
7,5	1186	tt5523174	movie	Beggar	Pichaikkaran	0	2016	\N	130	Action
8,5	575	tt5523544	movie	Shourya	Shourya	0	2016	\N	124	Romance,Thriller
7,2	9	tt5524360	movie	Meghla Akash	Meghla Akash	0	2001	\N	157	Drama,Family
8,6	7	tt5530838	movie	Halfway to Zen	Halfway to Zen	0	2016	\N	96	Drama
7,1	74	tt5531934	movie	Long Long Time Ago 2	Long Long Time Ago 2	0	2016	\N	122	Comedy,Drama
7,2	50	tt5532844	movie	Gelo	Gelo	0	2016	\N	118	Drama
8,3	2729	tt5534436	movie	Dhaka Attack	Dhaka Attack	0	2017	\N	147	Action,Thriller
8,2	65	tt5536316	movie	National Theatre Live: Les Liaisons Dangereuses	National Theatre Live: Les Liaisons Dangereuses	0	2016	\N	210	Romance
7,2	4710	tt5536610	movie	Private Life	Private Life	0	2018	\N	123	Drama
8,2	32	tt5537300	movie	Cold War	Cold War	0	2017	\N	96	Comedy,Romance
8,4	113	tt5537724	movie	Kiragoorina Gayyaligalu	Kiragoorina Gayyaligalu	0	2016	\N	139	Crime,Drama
7,7	39	tt5537746	movie	Simpallag Innondh Love Story	Simpallag Innondh Love Story	0	2016	\N	141	Comedy,Romance
