averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,3	133	tt1973552	tvSeries	Murdoch Mysteries: The Curse of the Lost Pharaohs	Murdoch Mysteries: The Curse of the Lost Pharaohs	0	2011	\N	\N	Mystery
8,1	5005	tt1973692	tvSeries	Rita	Rita	0	2012	\N	40	Comedy,Drama
7,5	116	tt1974895	tvSeries	Slaps & Kisses	Tapas & Beijos	0	2011	2015	\N	Comedy
8,2	43	tt1976753	tvSeries	Flor Salvaje	Flor Salvaje	0	2011	\N	\N	Drama
7,7	222	tt1976802	tvSeries	Hell Girl	Jigoku shôjo	0	2006	2007	360	Drama,Fantasy,Horror
7,1	83	tt1977439	tvSeries	Munting heredera	Munting heredera	0	2011	\N	25	Drama,Mystery,Romance
7,1	27	tt1977535	tvSeries	Sisid	Sisid	0	2011	\N	30	Drama,Mystery,Romance
7,5	20	tt1978227	tvSeries	Pretty Cure 5	Pretty Cure 5	0	2011	\N	\N	Animation
7,3	428	tt1978319	tvSeries	Torchwood: Web of Lies	Torchwood: Web of Lies	0	2011	2011	\N	Animation,Drama
7,7	20	tt1978867	tvSeries	I Faked My Own Death	I Faked My Own Death	0	2011	\N	\N	Crime
8,0	27	tt1979004	tvSeries	SMA: Sailor Moon Abridged	SMA: Sailor Moon Abridged	0	2007	\N	\N	Comedy
7,7	41	tt1979643	tvSeries	Digimon Fusion Battles	Digimon Fusion Battles	0	2011	\N	\N	Animation
7,3	10	tt1979722	tvSeries	Russkiye strashilki	Russkiye strashilki	0	2003	2003	41	Adventure,Comedy,Mystery
7,4	31	tt1979955	tvSeries	The Joy of Sets	The Joy of Sets	0	2011	2011	24	Comedy
7,1	312	tt1980197	tvSeries	My Gimpy Life	My Gimpy Life	0	2011	\N	6	Comedy
7,1	56	tt1980462	tvSeries	Fora da Box	Fora da Box	0	2011	\N	\N	Comedy
7,2	45	tt1980484	tvSeries	For You in Full Blossom - Ikemen Paradise 2011	Hana zakari no kimi tachi e: Ikemen paradaisu	0	2011	\N	\N	Comedy,Drama
8,0	10	tt1980596	tvSeries	Must Love Robots	Must Love Robots	0	2009	\N	\N	Comedy
7,5	15	tt1980852	tvSeries	Umechan sensei	Umechan sensei	0	2012	\N	15	Drama
8,3	13422	tt1981558	tvSeries	Key and Peele	Key and Peele	0	2012	2015	30	Comedy
8,3	3562	tt1982229	tvSeries	City Hunter	Siti hyunteo	0	2011	\N	60	Action,Romance,Thriller
8,4	5	tt1982261	tvSeries	Dear Friend	Dear Friend	0	2008	2010	60	Drama,Romance
7,9	10	tt1982584	tvSeries	Up All Night	Up All Night	0	2010	\N	22	Comedy
7,4	15	tt1982967	tvSeries	Andres de Saya	Andres de Saya	0	2011	\N	45	Comedy
7,9	18	tt1983238	tvSeries	Dream Maker	Dream Maker	0	2011	\N	\N	Comedy
7,2	41	tt1983712	tvSeries	Nerdz	Nerdz	0	2007	2011	\N	Comedy,Drama
7,2	237	tt1984988	tvSeries	Twentysomething	Twentysomething	0	2011	2013	\N	Comedy
8,1	47	tt1985916	tvSeries	Walking in Circles	Walking in Circles	0	2011	\N	11	Action,Adventure,Comedy
7,9	37	tt1986436	tvSeries	Hoe overleef ik?	Hoe overleef ik?	0	2011	2012	\N	Drama
8,1	297	tt1987154	tvSeries	Hamish & Andy's Gap Year	Hamish & Andy's Gap Year	0	2011	\N	\N	Comedy
7,7	48	tt1987179	tvSeries	Croisée in a Foreign Labyrinth -The Animation	Ikoku Meiro no Croisée	0	2011	\N	\N	Animation,Drama
7,1	37	tt1987198	tvSeries	Issues	Issues	0	2011	\N	\N	Animation
7,4	10	tt1987340	tvSeries	Reputasyon	Reputasyon	0	2011	2012	\N	Crime,Drama,Mystery
8,0	43	tt1988246	tvSeries	Continue?	Continue?	0	2009	\N	\N	Comedy
7,2	15	tt1988250	tvSeries	Culture Click	Culture Click	0	2011	\N	30	Family
8,1	25	tt1988384	tvSeries	Mesano meso	Mesano meso	0	2011	\N	\N	Comedy
